latitude,river_discharge
time,river_discharge
2024-02-19,0.36
2024-02-20,0.58
2024-02-21,0.34
2024-02-22,0.30
2024-02-23,1.25
2024-02-24,0.61
2024-02-25,0.47
2024-02-26,0.36
2024-02-27,0.37
2024-02-28,0.33
2024-02-29,0.28
2024-03-01,0.25
2024-03-02,0.26
2024-03-03,0.23
2024-03-04,0.22
2024-03-05,0.20
2024-03-06,0.20
2024-03-07,0.34
2024-03-08,0.22
2024-03-09,0.20
2024-03-10,0.19
2024-03-11,0.36
2024-03-12,0.23
2024-03-13,0.23
2024-03-14,0.28
2024-03-15,0.22
2024-03-16,0.30
2024-03-17,0.41
2024-03-18,0.22
2024-03-19,0.34
2024-03-20,0.20
2024-03-21,0.17
2024-03-22,0.17
2024-03-23,0.14
2024-03-24,0.66
2024-03-25,0.61
2024-03-26,0.22
2024-03-27,0.17
2024-03-28,0.25
2024-03-29,0.19
2024-03-30,0.20
2024-03-31,0.17
2024-04-01,0.17
2024-04-02,0.22
2024-04-03,0.20
2024-04-04,0.34
2024-04-05,0.72
2024-04-06,0.20
2024-04-07,0.17
2024-04-08,0.14
2024-04-09,0.14
2024-04-10,0.14
2024-04-11,0.12
2024-04-12,0.11
2024-04-13,0.11
2024-04-14,0.09
2024-04-15,0.17
2024-04-16,0.20
2024-04-17,0.80
2024-04-18,0.42
2024-04-19,0.22
2024-04-20,0.58
2024-04-21,0.41
2024-04-22,0.42
2024-04-23,0.23
2024-04-24,0.19
2024-04-25,0.22
2024-04-26,0.22
2024-04-27,0.20
2024-04-28,0.16
2024-04-29,0.17
2024-04-30,0.14
2024-05-01,0.12
2024-05-02,0.12
2024-05-03,0.81
2024-05-04,0.28
2024-05-05,0.16
2024-05-06,0.31
2024-05-07,0.25
2024-05-08,0.20
2024-05-09,0.17
2024-05-10,0.12
2024-05-11,0.12
2024-05-12,0.11
2024-05-13,0.09
2024-05-14,0.12
2024-05-15,0.09
2024-05-16,0.20
2024-05-17,0.42
2024-05-18,5.75
2024-05-19,1.34
2024-05-20,0.42
2024-05-21,0.26
2024-05-22,0.39
2024-05-23,0.23
2024-05-24,1.06
2024-05-25,0.64
2024-05-26,0.36
2024-05-27,0.28
2024-05-28,0.77
2024-05-29,0.25
2024-05-30,0.56
2024-05-31,0.97
2024-06-01,2.52
2024-06-02,7.71
2024-06-03,1.99
2024-06-04,0.75
2024-06-05,0.50
2024-06-06,0.47
2024-06-07,0.39
2024-06-08,0.31
2024-06-09,0.66
2024-06-10,0.39
2024-06-11,0.23
2024-06-12,0.22
2024-06-13,0.20
2024-06-14,0.19
2024-06-15,0.28
2024-06-16,0.33
2024-06-17,0.28
2024-06-18,0.25
2024-06-19,0.23
2024-06-20,0.56
2024-06-21,0.23
2024-06-22,0.64
2024-06-23,0.30
2024-06-24,0.22
2024-06-25,0.17
2024-06-26,0.16
2024-06-27,0.89
2024-06-28,0.19
2024-06-29,0.42
2024-06-30,0.47
2024-07-01,1.05
2024-07-02,0.39
2024-07-03,0.30
2024-07-04,0.44
2024-07-05,0.37
2024-07-06,0.26
2024-07-07,0.49
2024-07-08,0.26
2024-07-09,0.22
2024-07-10,0.20
2024-07-11,0.87
2024-07-12,0.87
2024-07-13,0.55
2024-07-14,0.25
2024-07-15,0.17
2024-07-16,0.23
2024-07-17,0.23
2024-07-18,0.16
2024-07-19,0.14
2024-07-20,0.23
2024-07-21,0.16
2024-07-22,0.17
2024-07-23,0.28
2024-07-24,0.25
2024-07-25,0.17
2024-07-26,0.11
2024-07-27,0.11
2024-07-28,0.36
2024-07-29,0.25
2024-07-30,0.09
2024-07-31,0.08
