date,soil_moisture,soil_moisture_class
2024-04-05,0.4077916666666667,High
2024-04-06,0.3885833333333333,Medium
2024-04-07,0.3773333333333333,Medium
2024-04-08,0.3669583333333333,Medium
2024-04-09,0.363875,Medium
2024-04-10,0.3650833333333333,Medium
2024-04-11,0.3605833333333333,Low
2024-04-12,0.34775,Low
2024-04-13,0.3411666666666667,Low
2024-04-14,0.3293333333333333,Low
2024-04-15,0.341375,Low
2024-04-16,0.3925833333333333,Medium
2024-04-17,0.4044583333333333,High
2024-04-18,0.3881666666666667,Medium
2024-04-19,0.405125,High
2024-04-20,0.4131249999999999,High
2024-04-21,0.415875,High
2024-04-22,0.4032083333333333,High
2024-04-23,0.3838333333333333,Medium
2024-04-24,0.3778333333333333,Medium
2024-04-25,0.3929166666666666,Medium
2024-04-26,0.38575,Medium
2024-04-27,0.3819583333333333,Medium
2024-04-28,0.3533333333333333,Low
2024-04-29,0.3380833333333333,Low
2024-04-30,0.3185416666666666,Low
2024-05-01,0.318125,Low
2024-05-02,0.3161666666666666,Low
2024-05-03,0.3889583333333333,Medium
2024-05-04,0.3764166666666667,Medium
2024-05-05,0.3967083333333334,High
2024-05-06,0.411375,High
2024-05-07,0.3995416666666667,High
2024-05-08,0.3874166666666667,Medium
2024-05-09,0.376125,Medium
2024-05-10,0.3546249999999999,Low
2024-05-11,0.33425,Low
2024-05-12,0.3157083333333333,Low
2024-05-13,0.32325,Low
2024-05-14,0.3080416666666666,Low
2024-05-15,0.3155,Low
2024-05-16,0.3480833333333333,Low
2024-05-17,0.43225,High
2024-05-18,0.4203333333333333,High
2024-05-19,0.40175,High
2024-05-20,0.38375,Medium
2024-05-21,0.4043333333333334,High
2024-05-22,0.401875,High
2024-05-23,0.3904166666666667,Medium
2024-05-24,0.4156666666666666,High
2024-05-25,0.393,Medium
2024-05-26,0.3784583333333333,Medium
2024-05-27,0.3919166666666667,Medium
2024-05-28,0.391125,Medium
2024-05-29,0.387,Medium
2024-05-30,0.4135416666666667,High
2024-05-31,0.4225833333333333,High
2024-06-01,0.4320833333333333,High
2024-06-02,0.42825,High
