LAND_USE,SOIL_TYPE,PROXIMITY_TO_FOREST,PROXIMITY_TO_RIVER,SLOPE,ELEVATION,STREET_DENSITY,Flood
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Farmland,LT,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Greenland,T,Low,High,High,Medium,High,0.6157831525
Farmland,T,High,High,Low,Medium,High,0.6087179633125
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Greenland,T,High,High,High,Low,High,0.5932338086875
Farmland,T,High,High,High,Low,High,0.5932338086875
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,LT,High,High,High,Low,High,0.5914121434375
Farmland,Unknown,High,High,High,Low,High,0.5914121434375
Farmland,L,High,High,High,Low,High,0.5883760346875
Farmland,L,High,High,High,Low,High,0.5883760346875
Greenland,T,High,Medium,High,Low,Medium,0.58665851359375
Greenland,T,High,Medium,High,Low,Medium,0.58665851359375
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,High,High,High,Low,High,0.5853399259375001
Greenland,L,Low,High,Medium,Medium,Medium,0.58440988984375
Farmland,sL,High,High,High,Low,High,0.583062844375
Greenland,T,Medium,High,High,Low,High,0.583005571875
